filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165895_cube.fits,45.0,0.0,120316261.9357295,-0.5511627476636894,93315051.72642516,27001210.209304333,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165896_cube.fits,45.0,11.25,119910407.4622364,-0.5512825007091969,93007458.37453842,26902949.087697983,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165897_cube.fits,45.0,22.5,119572276.51674508,-0.5512198139933557,92741442.2685337,26830834.248211384,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165898_cube.fits,45.0,33.75,119248480.10198784,-0.551409694362921,92501624.03413393,26746856.067853928,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165899_cube.fits,45.0,45.0,118969421.7233696,-0.5513470792535531,92281432.45551682,26687989.267852783,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165900_cube.fits,45.0,56.25,118778930.42747402,-0.5512243574258456,92126385.0140438,26652545.413430218,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165901_cube.fits,45.0,67.5,118588825.54102136,-0.5511272097975398,91973177.03730585,26615648.503715515,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165902_cube.fits,45.0,78.75,118427836.76311302,-0.5511727687228994,91851017.7228508,26576819.040262222,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165903_cube.fits,45.0,90.0,118325018.67523146,-0.5512420714078415,91775373.5345688,26549645.14066267,1998.6603
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165904_cube.fits,57.5,0.0,118034396.84580515,-0.6431057026468395,96971495.2829113,21062901.562893867,1998.6603
