filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165895_cube.fits,45.0,0.0,2131396.059353251,0.2377973635695976,812277.8478582092,1319118.2114950418,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165896_cube.fits,45.0,11.25,2135783.734734986,0.2339440675816592,818064.900178168,1317718.834556818,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165897_cube.fits,45.0,22.5,2111266.069613684,0.240771293007384,801466.9040750898,1309799.165538594,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165898_cube.fits,45.0,33.75,2111067.5756027848,0.2366563665318726,805734.9968286902,1305332.5787740946,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165899_cube.fits,45.0,45.0,2079355.6421636736,0.238886377445464,791312.9526932035,1288042.68947047,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165900_cube.fits,45.0,56.25,2077843.9459619755,0.2377092575755259,791960.6021047765,1285883.343857199,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165901_cube.fits,45.0,67.5,2057142.0112927535,0.2410738898044406,780609.3923751395,1276532.6189176142,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165902_cube.fits,45.0,78.75,2066399.108446546,0.2388509797930494,786418.8283753023,1279980.2800712436,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165903_cube.fits,45.0,90.0,2072058.5252380455,0.2363662299687831,791146.931676426,1280911.5935616195,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165904_cube.fits,57.5,0.0,2126478.99126295,-0.0692270807834181,1136844.462087676,989634.529175274,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165905_cube.fits,57.5,11.25,2144061.641787216,-0.0662983379473725,1143104.6825472116,1000956.9592400044,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165906_cube.fits,57.5,22.5,2134484.9992987737,-0.0678178873105455,1139620.631223634,994864.3680751398,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165907_cube.fits,57.5,33.75,2125295.2572494745,-0.0655830505662689,1132339.3017869592,992955.9554625154,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165908_cube.fits,57.5,45.0,2150520.774888277,-0.0661392115941373,1146377.2617281005,1004143.5131601766,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165909_cube.fits,57.5,56.25,2112672.839972995,-0.0664954503447228,1126577.985949032,986094.8540239632,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165910_cube.fits,57.5,67.5,2126926.905349731,-0.0685420610754477,1136355.429599613,990571.4757501184,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165911_cube.fits,57.5,78.75,2119723.618362576,-0.068085794108112,1132023.3421042562,987700.2762583196,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165912_cube.fits,57.5,90.0,2127434.7350430414,-0.0673814028119676,1135392.135940574,992042.5991024672,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165913_cube.fits,70.0,0.0,2257581.228399614,-0.585726749218212,1789953.4712030888,467627.7571965251,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165914_cube.fits,70.0,11.25,2265660.0582300927,-0.5879287555703879,1798853.378405422,466806.6798246708,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165915_cube.fits,70.0,22.5,2271081.341524726,-0.5821800307081825,1796629.7733371854,474451.5681875404,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165916_cube.fits,70.0,33.75,2257016.2447915785,-0.5822535613600579,1785585.9956844896,471430.2491070889,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165917_cube.fits,70.0,45.0,2252876.572664134,-0.5875568424059573,1788284.809014514,464591.7636496201,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165918_cube.fits,70.0,56.25,2258636.7456173487,-0.5850197931463919,1789991.9736656249,468644.77195172384,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165919_cube.fits,70.0,67.5,2271429.771442242,-0.5842772986522297,1799287.3111893833,472142.4602528587,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165920_cube.fits,70.0,78.75,2272574.373373285,-0.5789926338110238,1794189.09767206,478385.2757012248,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165921_cube.fits,70.0,90.0,2262471.078027673,-0.580921743462921,1788394.8606049716,474076.2174227014,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165922_cube.fits,82.5,0.0,2390001.738066376,-0.9301282547654248,2306504.9417901933,83496.79627618284,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165923_cube.fits,82.5,11.25,2348952.2994256164,-0.940293914597418,2278828.926127568,70123.3732980486,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165924_cube.fits,82.5,22.5,2378963.026671093,-0.9342474210650542,2300751.5495738387,78211.47709725409,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165925_cube.fits,82.5,33.75,2361511.781230608,-0.936920130266524,2287029.8534635603,74481.92776704754,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165926_cube.fits,82.5,45.0,2358672.7793090376,-0.9335539203034712,2280310.499573037,78362.27973600048,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165927_cube.fits,82.5,56.25,2369218.267694673,-0.9354707040488864,2292776.274310246,76441.99338442678,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165928_cube.fits,82.5,67.5,2353021.5014646524,-0.9398257631471728,2282225.864890188,70795.63657446418,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165929_cube.fits,82.5,78.75,2357205.863823286,-0.9372764239499995,2283279.6731907725,73926.19063251345,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165930_cube.fits,82.5,90.0,2374565.1685483176,-0.935054243793433,2297456.2032817453,77108.96526657208,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165931_cube.fits,95.0,0.0,2353790.067500524,-0.9350508140840914,2277351.693149969,76438.37435055514,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165932_cube.fits,95.0,11.25,2387433.905624957,-0.9287270827815438,2302354.2160648853,85079.68956007133,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165933_cube.fits,95.0,22.5,2377830.3965099,-0.9276913811415696,2291861.5805842876,85968.8159256127,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165934_cube.fits,95.0,33.75,2369506.8184890733,-0.9302933178078392,2286921.589114785,82585.22937428798,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165935_cube.fits,95.0,45.0,2392144.392184952,-0.931042610828405,2309666.3762816787,82478.01590327306,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165936_cube.fits,95.0,56.25,2378459.5769183,-0.9318377286962664,2297398.9734348655,81060.6034834343,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165937_cube.fits,95.0,67.5,2361935.853771172,-0.9339215477503456,2283899.3210060894,78036.53276508252,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165938_cube.fits,95.0,78.75,2373593.858136445,-0.9304636200979716,2291068.296010196,82525.56212624846,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165939_cube.fits,95.0,90.0,2373559.8726270045,-0.9296934360278916,2290121.4531137645,83438.4195132402,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165940_cube.fits,107.5,0.0,2297349.9621277563,-0.5692523975915694,1802560.9680879416,494788.9940398149,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165941_cube.fits,107.5,11.25,2274458.5953939403,-0.5751584365014607,1791316.3225040138,483142.27288992656,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165942_cube.fits,107.5,22.5,2268367.9529225156,-0.5689637289043137,1779493.5209721774,488874.4319503382,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165943_cube.fits,107.5,33.75,2279017.9215619303,-0.5691735319473743,1788087.300674349,490930.62088758126,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165944_cube.fits,107.5,45.0,2297574.889878694,-0.5704365684219505,1804097.8128767684,493477.0770019256,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165945_cube.fits,107.5,56.25,2280975.557229561,-0.5734751560794215,1794529.1854625642,486446.37176699657,1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes/cubes/internal-cal/CRSA00165946_cube.fits,107.5,67.5,2273247.655791737,-0.5741208314504589,1789183.245013848,484064.4107778892,1159.5614
