filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162881_cube.fits, 45.0, 0.0, 221313728.44290066, -0.606243189468175, 177741834.52360916, 43571893.9192915, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162882_cube.fits, 45.0, 11.25, 221384017.24916363, -0.6065076126609726, 177827554.51612473, 43556462.7330389, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162883_cube.fits, 45.0, 22.5, 221180885.3875928, -0.6062956050369515, 177640942.058136, 43539943.329456806, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162884_cube.fits, 45.0, 33.75, 221036179.5236702, -0.6062569107299832, 177520445.44062424, 43515734.08304596, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162885_cube.fits, 45.0, 45.0, 221111469.21463108, -0.6063782018825644, 177594322.16630554, 43517147.04832554, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162886_cube.fits, 45.0, 56.25, 220897708.02743626, -0.6062014798562992, 177403112.76526642, 43494595.26216984, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162887_cube.fits, 45.0, 67.5, 220726482.26945877, -0.6058323567504492, 177224863.6100006, 43501618.65945816, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162888_cube.fits, 45.0, 78.75, 220893617.44641113, -0.6063917438414008, 177420841.66658783, 43472775.7798233, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162889_cube.fits, 45.0, 90.0, 220922682.49230003, -0.6064255446641632, 177447920.27568054, 43474762.21661949, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162890_cube.fits, 57.5, 0.0, 220416027.41585445, -0.6882863299837307, 186062682.99775314, 34353344.41810131, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162891_cube.fits, 57.5, 11.25, 220061871.37139082, -0.6877993680105439, 185710143.7119255, 34351727.65946531, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162892_cube.fits, 57.5, 22.5, 220129988.8067975, -0.6879008238907826, 185778794.73503113, 34351194.07176638, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162893_cube.fits, 57.5, 33.75, 220172338.246634, -0.6879642384198084, 185821516.624794, 34350821.62184, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162894_cube.fits, 57.5, 45.0, 219815789.76967192, -0.6879740888188507, 185521678.722229, 34294111.04744291, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162895_cube.fits, 57.5, 56.25, 219896898.47551966, -0.6880569229879782, 185599240.90759277, 34297657.56792688, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162896_cube.fits, 57.5, 67.5, 219671288.72121477, -0.6877449193921459, 185374550.7377777, 34296737.98343706, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162897_cube.fits, 57.5, 78.75, 219402629.91637564, -0.6873888919324799, 185108780.29083252, 34293849.62554312, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162898_cube.fits, 57.5, 90.0, 219620010.66308403, -0.687800389675289, 185337369.78882217, 34282640.874261856, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162899_cube.fits, 70.0, 0.0, 221137560.21886444, -0.8507349201251365, 204633502.42416382, 16504057.794700623, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162900_cube.fits, 70.0, 11.25, 221326811.36478305, -0.8508914122410234, 204825947.22688293, 16500864.137900114, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162901_cube.fits, 70.0, 22.5, 220852468.60809684, -0.8505904724029096, 204353737.10640335, 16498731.501693487, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162902_cube.fits, 70.0, 33.75, 220986718.1709385, -0.8507204663174707, 204492321.05164337, 16494397.11929512, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162903_cube.fits, 70.0, 45.0, 220425458.01068425, -0.8504655123245756, 203944854.04356003, 16480603.967124224, 2139.4131
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162904_cube.fits, 70.0, 56.25, 221095426.26545477, -0.8509179453965379, 204614746.05991364, 16480680.205541134, 2139.4131
