filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162881_cube.fits, 45.0, 0.0, 16816607.639947236, 0.2999626384098755, 5886126.821582496, 10930480.81836474, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162882_cube.fits, 45.0, 11.25, 16810493.55687219, 0.2991539031406899, 5890784.397806227, 10919709.159065962, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162883_cube.fits, 45.0, 22.5, 16782850.537984133, 0.29915331201599094, 5881102.607238412, 10901747.93074572, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162884_cube.fits, 45.0, 33.75, 16710895.21188432, 0.3029278230264706, 5824350.052262366, 10886545.159621954, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162885_cube.fits, 45.0, 45.0, 16740962.170970738, 0.3003162476420903, 5856689.614933312, 10884272.556037426, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162886_cube.fits, 45.0, 56.25, 16777009.35062939, 0.2989390294918165, 5880853.228788555, 10896156.121840835, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162887_cube.fits, 45.0, 67.5, 16780255.755073845, 0.29930201496379827, 5878945.697986186, 10901310.05708766, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162888_cube.fits, 45.0, 78.75, 16751917.15041262, 0.29908182250115767, 5870861.6193394065, 10881055.531073213, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162889_cube.fits, 45.0, 90.0, 16739602.139156997, 0.2978555360997327, 5876809.484951079, 10862792.654205918, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162890_cube.fits, 57.5, 0.0, 17280854.207294047, -0.022874957802525457, 8838076.509038746, 8442777.6982553, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162891_cube.fits, 57.5, 11.25, 17268938.066905618, -0.02245473083916263, 8828353.711538076, 8440584.355367541, 1159.5614
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162892_cube.fits, 57.5, 22.5, 17241945.70716071, -0.02334608390314313, 8822238.809146762, 8419706.89801395, 1159.5614
