filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,LCOUNTS,RCOUNTS,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162881_cube.fits, 45.0, 0.0, 154705421.3222456, -0.36767255772362173, 105793179.63675308, 48912241.685492516, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162882_cube.fits, 45.0, 11.25, 154675984.56719017, -0.36760867302178835, 105768109.00113678, 48907875.56605339, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162883_cube.fits, 45.0, 22.5, 154588330.4155941, -0.3676640276049745, 105712449.29846, 48875881.117134094, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162884_cube.fits, 45.0, 33.75, 154523510.34101963, -0.36783801741299565, 105681566.01427841, 48841944.32674122, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162885_cube.fits, 45.0, 45.0, 154455948.4684267, -0.3675308175527492, 105611634.74245644, 48844313.72597027, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162886_cube.fits, 45.0, 56.25, 154378212.0286808, -0.3674851613537934, 105554957.09277534, 48823254.93590546, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162887_cube.fits, 45.0, 67.5, 154292373.4938755, -0.3675114451480955, 105498293.3259697, 48794080.16790581, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162888_cube.fits, 45.0, 78.75, 154224656.45912457, -0.3674495743890735, 105447220.41766548, 48777436.04145908, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162889_cube.fits, 45.0, 90.0, 154221251.12221336, -0.367673762914802, 105462179.4218731, 48759071.70034027, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162890_cube.fits, 57.5, 0.0, 154905474.22112608, -0.5015667471336362, 116300454.51970482, 38605019.70142126, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162891_cube.fits, 57.5, 11.25, 154827095.6064334, -0.5016231470713785, 116245975.27822685, 38581120.32820654, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162892_cube.fits, 57.5, 22.5, 154788517.62723064, -0.501737801414292, 116225884.07284737, 38562633.55438328, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162893_cube.fits, 57.5, 33.75, 154754209.9327507, -0.5014154145054699, 116175178.1263237, 38579031.806427, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162894_cube.fits, 57.5, 45.0, 154642082.73442364, -0.5018627559061252, 116125592.27729225, 38516490.457131386, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162895_cube.fits, 57.5, 56.25, 154581659.74194622, -0.5016275245708443, 116062037.53117561, 38519622.21077061, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162896_cube.fits, 57.5, 67.5, 154582836.9051342, -0.5015782842681021, 116059115.50865364, 38523721.39648056, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162897_cube.fits, 57.5, 78.75, 154530284.4834051, -0.5015992016697176, 116021275.90703773, 38509008.57636738, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162898_cube.fits, 57.5, 90.0, 154412294.1853099, -0.5016380301319832, 115935686.63429451, 38476607.55101538, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162899_cube.fits, 70.0, 0.0, 157191047.07636714, -0.7644795995622516, 138680197.90003967, 18510849.176327467, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162900_cube.fits, 70.0, 11.25, 157220829.40457058, -0.7647052033334886, 138724207.86132622, 18496621.543244362, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162901_cube.fits, 70.0, 22.5, 157075073.5040462, -0.764655481855474, 138591694.76088333, 18483378.74316287, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162902_cube.fits, 70.0, 33.75, 157043478.5407765, -0.7645385237222085, 138554633.89227104, 18488844.64850545, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162903_cube.fits, 70.0, 45.0, 156713982.0971079, -0.7643695947713626, 138250692.5438404, 18463289.55326748, 1744.3261
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162904_cube.fits, 70.0, 56.25, 157046137.68178368, -0.7649055413202789, 138585799.31876373, 18460338.363019943, 1744.3261
