filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162881_cube.fits,45.00043,0.0,91469773.12196398,0.5360367547739109,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162882_cube.fits,45.00043,11.25,91417446.95717025,0.5359935361829753,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162883_cube.fits,45.00043,22.5,91393830.43267632,0.5358690566704691,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162884_cube.fits,45.00043,33.75,91318235.3795743,0.5356872539742265,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162885_cube.fits,45.0004,45.0,91280733.03293347,0.5357728340550167,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162886_cube.fits,45.0004,56.25,91232729.91675186,0.5362046534053091,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162887_cube.fits,45.0004,67.5,91167105.81413078,0.5363501568176571,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162888_cube.fits,45.0004,78.75,91069619.30447793,0.5360850078998554,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162889_cube.fits,45.0004,90.0,91072177.45742226,0.5361421550571975,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162890_cube.fits,57.50001,0.0,93174287.69624329,0.1803455362527922,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162891_cube.fits,57.50001,11.25,93137364.52229023,0.18022851173556081,1471.4264
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162892_cube.fits,57.50001,22.5,93100205.80094814,0.1802872053666773,1471.4264
