filepath,D_IMRANG,RET-ANG1,single_sum,norm_single_diff,wavelength_bin
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162881_cube.fits,45.00043,0.0,105437328.48388004,0.09879348730903977,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162882_cube.fits,45.00043,11.25,105383599.58228302,0.09865650048109495,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162883_cube.fits,45.00043,22.5,105359344.49667263,0.09866090736923203,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162884_cube.fits,45.00043,33.75,105269312.73020172,0.09847839498433764,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162885_cube.fits,45.0004,45.0,105231473.79557419,0.0985957993527791,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162886_cube.fits,45.0004,56.25,105177642.49833298,0.09877292406629222,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162887_cube.fits,45.0004,67.5,105106336.55939388,0.09887823631850148,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162888_cube.fits,45.0004,78.75,105058912.73634434,0.09868646220169815,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162889_cube.fits,45.0004,90.0,105015117.92647028,0.09859123549961914,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162890_cube.fits,57.50001,0.0,106434873.01345825,-0.14536007143267057,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162891_cube.fits,57.50001,11.25,106369088.32095718,-0.1454375942221567,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162892_cube.fits,57.50001,22.5,106346795.8890953,-0.14535865530083023,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162893_cube.fits,57.50001,33.75,106280005.75512218,-0.14546721032731372,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162894_cube.fits,57.50001,45.0,106197573.90441895,-0.1454545490934994,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162895_cube.fits,57.50001,56.25,106145244.98423624,-0.1455799522858934,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162896_cube.fits,57.50001,67.5,106106143.2691307,-0.14546025505663795,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162897_cube.fits,57.50001,78.75,106091925.08777332,-0.14500783233197861,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162898_cube.fits,57.50001,90.0,106047979.21126556,-0.14497770723684705,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162899_cube.fits,69.99966,0.0,109251805.61212969,-0.604660359453021,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162900_cube.fits,69.99966,11.25,109202453.02992868,-0.6044541349665787,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162901_cube.fits,69.99966,22.5,109171045.11608624,-0.6046107106423892,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162902_cube.fits,69.9997,33.75,109108381.03677917,-0.6046667254296306,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162903_cube.fits,69.99966,45.0,109019222.96005368,-0.6046216979146827,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162904_cube.fits,69.9997,56.25,108995117.82978487,-0.6048280300173355,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162905_cube.fits,69.9997,67.5,108984498.08584571,-0.60463315986496,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162906_cube.fits,69.99966,78.75,108934046.48583174,-0.6047483948344613,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162907_cube.fits,69.9997,90.0,108833333.7745266,-0.6049714453633875,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162908_cube.fits,82.4999,0.0,111433468.39164257,-0.9470612551503967,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162909_cube.fits,82.49993,11.25,111416610.75959346,-0.947046875012986,1575.0495
/Users/thomasmcintosh/Desktop/CHARIS-REU/Cubes_2/cubes/CRSA00162910_cube.fits,82.49993,22.5,111357048.77564901,-0.9469897016853163,1575.0495
